transit_score,transit_score_delta,filename,link_id
16952854809,503179,/home/mwbc/ped-transit-data/networks/links/link_id_18041,18041
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18105,18105
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18138,18138
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18141,18141
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18170,18170
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18197,18197
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_182,182
16952748815,397185,/home/mwbc/ped-transit-data/networks/links/link_id_18226,18226
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18259,18259
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18288,18288
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18351,18351
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_1836,1836
16953058278,706648,/home/mwbc/ped-transit-data/networks/links/link_id_18396,18396
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18456,18456
16955617410,3265780,/home/mwbc/ped-transit-data/networks/links/link_id_18549,18549
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18647,18647
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18655,18655
16952369042,17412,/home/mwbc/ped-transit-data/networks/links/link_id_18730,18730
16952491434,139804,/home/mwbc/ped-transit-data/networks/links/link_id_18736,18736
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18837,18837
16963374560,11022930,/home/mwbc/ped-transit-data/networks/links/link_id_18877,18877
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_18884,18884
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19091,19091
16952351630,0,/home/mwbc/ped-transit-data/networks/links/link_id_19202,19202
16954281379,1929749,/home/mwbc/ped-transit-data/networks/links/link_id_19256,19256
